"""Fiskální rok/období"""FISCPER:0FISCPER;"""Kapitola"""FM_AREA:0FM_AREA;"""Prur. a spec. ukazat"""/BIC/ZC_PSUK:ZC_PSUK;"""Schválený rozpočet 0"""KYF_0001:ZU_ROZSCH;"""Rozpočet po změnách 0"""KYF_0002:ZU_ROZPZM;"""Konečný rozpočet 0"""KYF_0003:ZU_KROZP;"""Skutečnost 0"""KYF_0004:ZU_ROZKZ;"""Mimorozpočtové prostředky"""KYF_0005:ZU_ROZKZ;"""Čerpání nároků z nespotřebovaných výdajů"""KYF_0006:ZU_ROZKZ
2025001;0344;PU10020000;43934733.00 ;43934733.00 ;43934733.00 ;15535.00-;0.00 ;0.00 
2025001;0344;PU10030000;1291204.00 ;1291204.00 ;1291204.00 ;458.65-;0.00 ;0.00 
2025001;0344;PU10060000;17660984.00 ;17660984.00 ;17660984.00 ;22430.00-;0.00 ;0.00 
0000000;0344;PU10180000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0344;PU10200000;16546501.00 ;16546501.00 ;16546501.00 ;156752.27 ;0.00 ;0.00 
2025001;0344;PU10200100;2246501.00 ;2246501.00 ;2246501.00 ;15675.22 ;0.00 ;0.00 
2025001;0344;PU10200200;14300000.00 ;14300000.00 ;14300000.00 ;141077.05 ;0.00 ;0.00 
2025001;0344;PU10230000;11271500.00 ;11271500.00 ;11271500.00 ;0.00 ;0.00 ;0.00 
2025001;0344;PU10240000;111459251.00 ;111459251.00 ;111459251.00 ;23527.00-;0.00 ;0.00 
2025001;0344;SU1010000000;80000000.00 ;80000000.00 ;0.00 ;6754850.00 ;0.00 ;0.00 
2025001;0344;SU1030000000;208900000.00 ;208900000.00 ;0.00 ;32592734.40 ;26639.94 ;0.00 
2025001;0344;SU1030010000;14300000.00 ;14300000.00 ;0.00 ;5708783.08 ;0.00 ;0.00 
2025001;0344;SU1030040000;194600000.00 ;194600000.00 ;0.00 ;26883951.32 ;26639.94 ;0.00 
2025001;0344;SU5010000000;238707009.00 ;238707009.00 ;238733358.26 ;3175217.74 ;0.00 ;0.00 
2025001;0345;PU10010000;712000842.00 ;710946802.00 ;735541417.00 ;0.00 ;0.00 ;0.00 
2025001;0345;PU10020000;240656285.00 ;240296639.00 ;291807393.59 ;0.00 ;0.00 ;0.00 
2025001;0345;PU10030000;6803289.00 ;6792648.00 ;7246677.42 ;0.00 ;0.00 ;0.00 
2025001;0345;PU10050000;3232800.00 ;3232800.00 ;3665092.00 ;0.00 ;0.00 ;0.00 
2025001;0345;PU10060000;72608125.00 ;72608125.00 ;73762556.00 ;0.00 ;0.00 ;0.00 
0000000;0345;PU10180000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0345;PU10200000;219363119.00 ;219363119.00 ;346127185.59 ;2588372.50 ;0.00 ;1493.00 
2025001;0345;PU10200100;39210194.00 ;39210194.00 ;60614831.69 ;446701.50 ;0.00 ;0.00 
2025001;0345;PU10200200;180152925.00 ;180152925.00 ;285512353.90 ;2141671.00 ;0.00 ;1493.00 
0000000;0345;PU10220000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0345;PU10220100;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0345;PU10220200;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0345;PU10230000;212584477.00 ;212584477.00 ;355742035.11 ;2573851.50 ;0.00 ;0.00 
2025001;0345;PU10240000;604487917.00 ;603423877.00 ;607662623.00 ;0.00 ;0.00 ;0.00 
0000000;0345;SU1010000000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0345;SU1030000000;181552925.00 ;181552925.00 ;0.00 ;35655608.11 ;256303.92 ;0.00 
2025001;0345;SU1030010000;180152925.00 ;180152925.00 ;0.00 ;35281905.62 ;201075.12 ;0.00 
0000000;0345;SU1030030000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0345;SU1030040000;1400000.00 ;1400000.00 ;0.00 ;373702.49 ;55228.80 ;0.00 
