"ROK","IDFPROV","EMISE","EMI_MNO_T"
2022,119800092,"oxid uhelnatý (CO)",0.1680
2022,119800092,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.40
2022,119800982,"tuhé znečišťující látky (TZL)",10.2520
2022,119801532,"těkavé organické látky (VOC)",0.1350
2022,119803192,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0060
2022,119803192,"oxid uhelnatý (CO)",0.0320
2022,119803192,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.9820
2022,119803192,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0.0010
2022,119803192,"tuhé znečišťující látky (TZL)",0.03
2022,119804492,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0020
2022,119804492,"oxid uhelnatý (CO)",0.0060
2022,119804492,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0120
2022,119804492,"tuhé znečišťující látky (TZL)",0.0010
2022,119804662,"oxid uhelnatý (CO)",0.0390
2022,119804662,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.3050
2022,119804662,"těkavé organické látky (VOC)",3.8320
2022,119805582,"oxid uhelnatý (CO)",0.0010
2022,119805582,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0190
2022,119805582,"těkavé organické látky (VOC)",0.24
2022,119805902,"chlor a plynné anorganické sloučeniny chloru (kromě chlorkyanu) vyjádřené jako chlorovodík (HCl)",0.000561
2022,119805902,"nikl",0.00000102
2022,119805902,"organické látky vyjádřené jako celkový organický uhlík (TOC)",2.2890
2022,119805902,"oxid uhelnatý (CO)",0
2022,119805902,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0120
2022,119805902,"šestimocný chrom",0
2022,119805912,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.4120
2022,119806382,"oxid uhelnatý (CO)",0.0060
2022,119806382,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0740
2022,119806682,"těkavé organické látky (VOC)",1.0260
2022,119807592,"těkavé organické látky (VOC)",0.1750
2022,119808062,"oxid uhelnatý (CO)",0
2022,119808062,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0110
2022,119808062,"tuhé znečišťující látky (TZL)",0.8850
2022,119808072,"tuhé znečišťující látky (TZL)",0.71
2022,119808432,"těkavé organické látky (VOC)",1.1810
2022,119808822,"oxid uhelnatý (CO)",0.0020
2022,119808822,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0330
2022,119808822,"těkavé organické látky (VOC)",0.7130
