"ROK","ICP","TYP","FUEL_NAME"
2022,320802412,"TECHN","zemní plyn"
2022,320804252,"TECHN","zemní plyn"
2022,320806082,"TECHN","zemní plyn"
2022,320807982,"TECHN","zemní plyn"
2022,320808552,"TECHN","zemní plyn"
2022,320870012,"TECHN","zemní plyn"
2022,320870402,"TECHN","zemní plyn"
2022,320870502,"TECHN","bylinná biomasa (sláma, apod.)"
2022,320901922,"TECHN","zemní plyn"
2022,320904572,"TECHN","zemní plyn"
2022,320904912,"TECHN","zemní plyn"
2022,320905542,"TECHN","zemní plyn"
2022,320905802,"TECHN","zemní plyn"
2022,320971202,"TECHN","zemní plyn"
2022,320971292,"TECHN","nafta"
2022,321007842,"TECHN","zemní plyn"
2022,321007962,"TECHN","zemní plyn"
2022,321008032,"TECHN","dřevní biomasa"
2022,321170162,"TECHN","zemní plyn"
2022,321250052,"TECHN","zemní plyn"
2022,321400112,"TECHN","dřevní biomasa"
2022,321449082,"TECHN","dřevní biomasa"
2022,321470482,"TECHN","zemní plyn"
2022,321504502,"TECHN","zemní plyn"
2022,410101082,"TECHN","zemní plyn"
2022,410200422,"TECHN","zemní plyn"
2022,410200432,"TECHN","zemní plyn"
2022,410200442,"TECHN","zemní plyn"
2022,410201582,"TECHN","zemní plyn"
2022,410300482,"TECHN","zemní plyn"
2022,410301442,"TECHN","zemní plyn"
2022,410301452,"TECHN","zemní plyn"
2022,410301592,"TECHN","zemní plyn"
2022,410302102,"TECHN","propan, butan a jejich směsi"
2022,410302282,"TECHN","zemní plyn"
2022,410304152,"TECHN","zemní plyn"
2022,410400392,"TECHN","zemní plyn"
2022,410512552,"TECHN","zemní plyn"
2022,410701762,"TECHN","zemní plyn"
2022,410701842,"TECHN","zemní plyn"
2022,410701922,"TECHN","zemní plyn"
2022,410702202,"TECHN","zemní plyn"
2022,410702252,"TECHN","zemní plyn"
2022,410702412,"TECHN","zemní plyn"
2022,420104222,"TECHN","zemní plyn"
2022,420200522,"TECHN","zemní plyn"
2022,420270132,"TECHN","zemní plyn"
2022,420301732,"TECHN","zemní plyn"
2022,420301752,"TECHN","zemní plyn"
2022,420305072,"TECHN","propan, butan a jejich směsi"
2022,420370052,"TECHN","zemní plyn"
2022,420400172,"TECHN","zemní plyn"
2022,420400742,"TECHN","zemní plyn"
2022,420401602,"TECHN","zemní plyn"
2022,420470072,"TECHN","zemní plyn"
2022,420500392,"TECHN","zemní plyn"
2022,420510562,"TECHN","zemní plyn"
2022,420601522,"TECHN","zemní plyn"
2022,420770022,"TECHN","zemní plyn"
2022,420900242,"TECHN","zemní plyn"
2022,420900372,"TECHN","zemní plyn"
2022,420901442,"TECHN","propan, butan a jejich směsi"
2022,420902052,"TECHN","zemní plyn"
2022,421000292,"TECHN","zemní plyn"
2022,421070022,"TECHN","zemní plyn"
2022,421300642,"TECHN","zemní plyn"
2022,421300692,"TECHN","zemní plyn"
2022,421301072,"TECHN","zemní plyn"
2022,421302122,"TECHN","zemní plyn"
2022,421302862,"TECHN","zemní plyn"
2022,421302892,"TECHN","zemní plyn"
2022,421370032,"TECHN","zemní plyn"
2022,421370432,"TECHN","zemní plyn"
2022,421370802,"TECHN","zemní plyn"
2022,421400522,"TECHN","zemní plyn"
2022,421670232,"TECHN","zemní plyn"
2022,421670282,"TECHN","zemní plyn"
2022,510100042,"TECHN","zemní plyn"
2022,510100352,"TECHN","zemní plyn"
2022,510100622,"TECHN","zemní plyn"
2022,510100832,"TECHN","zemní plyn"
2022,510101342,"TECHN","zemní plyn"
2022,510200892,"TECHN","zemní plyn"
2022,510500532,"TECHN","zemní plyn"
2022,510500682,"TECHN","zemní plyn"
2022,510500772,"TECHN","zemní plyn"
2022,510500822,"TECHN","propan, butan a jejich směsi"
2022,510501952,"TECHN","zemní plyn"
2022,510503152,"TECHN","zemní plyn"
2022,510570302,"TECHN","zemní plyn"
2022,510600222,"TECHN","zemní plyn"
2022,510600582,"TECHN","zemní plyn"
2022,510670032,"TECHN","zemní plyn"
2022,510670322,"TECHN","propan, butan a jejich směsi"
2022,510800962,"TECHN","zemní plyn"
2022,510900192,"TECHN","zemní plyn"
2022,510900702,"TECHN","zemní plyn"
2022,510900912,"TECHN","dřevní biomasa"
2022,510901032,"TECHN","zemní plyn"
2022,510901592,"TECHN","zemní plyn"
2022,511000062,"TECHN","zemní plyn"
2022,511000102,"TECHN","vodík"
2022,511000102,"TECHN","propan, butan a jejich směsi"
2022,511000512,"TECHN","vodík"
2022,511000512,"TECHN","propan, butan a jejich směsi"
2022,511000512,"TECHN","zemní plyn"
2022,511000802,"TECHN","zemní plyn"
2022,520300432,"TECHN","jiné kapalné palivo"
2022,520300682,"TECHN","zemní plyn"
2022,520370032,"TECHN","zemní plyn"
2022,520370042,"TECHN","zemní plyn"
2022,520370212,"TECHN","zemní plyn"
2022,520370452,"TECHN","koks"
2022,520400992,"TECHN","zemní plyn"
2022,520470032,"TECHN","zemní plyn"
2022,520500582,"TECHN","zemní plyn"
2022,520500602,"TECHN","zemní plyn"
2022,520502502,"TECHN","neurčeno"
2022,520502712,"TECHN","zemní plyn"
2022,520503422,"TECHN","koks"
2022,520570242,"TECHN","zemní plyn"
2022,520570322,"TECHN","zemní plyn"
2022,520570412,"TECHN","zemní plyn"
2022,520570602,"TECHN","zemní plyn"
2022,520570622,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2022,520570842,"TECHN","bioplyn"
2022,520571032,"TECHN","zemní plyn"
2022,520600222,"TECHN","zemní plyn"
2022,520600232,"TECHN","zemní plyn"
2022,520700702,"TECHN","zemní plyn"
2022,520770142,"TECHN","zemní plyn"
2022,520770152,"TECHN","zemní plyn"
2022,520770172,"TECHN","zemní plyn"
2022,520900192,"TECHN","dřevní biomasa"
2022,520900702,"TECHN","propan, butan a jejich směsi"
2022,520900722,"TECHN","zemní plyn"
2022,520902812,"TECHN","zemní plyn"
2022,520903222,"TECHN","zemní plyn"
2022,521201032,"TECHN","zemní plyn"
2022,521300072,"TECHN","zemní plyn"
2022,521300112,"TECHN","rašelina"
2022,521370322,"TECHN","bylinná biomasa (sláma, apod.)"
2022,521403062,"TECHN","zemní plyn"
2022,521500162,"TECHN","zemní plyn"
2022,521500212,"TECHN","zemní plyn"
2022,521500302,"TECHN","zemní plyn"
2022,530100842,"TECHN","zemní plyn"
2022,530200102,"TECHN","zemní plyn"
2022,530270212,"TECHN","zemní plyn"
2022,530300802,"TECHN","zemní plyn"
2022,530400782,"TECHN","zemní plyn"
2022,530401442,"TECHN","zemní plyn"
2022,530401512,"TECHN","zemní plyn"
2022,530401562,"TECHN","propan, butan a jejich směsi"
2022,530402402,"TECHN","bioplyn"
2022,530402602,"TECHN","zemní plyn"
2022,530402732,"TECHN","zemní plyn"
2022,530486472,"TECHN","jiné pevné palivo"
2022,530486922,"TECHN","zemní plyn"
2022,530600492,"TECHN","zemní plyn"
2022,530770212,"TECHN","zemní plyn"
2022,530801742,"TECHN","kalový plyn"
2022,530900662,"TECHN","zemní plyn"
2022,530903302,"TECHN","zemní plyn"
2022,530905962,"TECHN","zemní plyn"
2022,530906002,"TECHN","zemní plyn"
2022,530906602,"TECHN","zemní plyn"
2022,530970082,"TECHN","zemní plyn"
2022,530970332,"TECHN","zemní plyn"
2022,530970362,"TECHN","zemní plyn"
2022,530970582,"TECHN","zemní plyn"
2022,530981822,"TECHN","zemní plyn"
2022,530981842,"TECHN","zemní plyn"
2022,531000332,"TECHN","bioplyn"
2022,531100562,"TECHN","zemní plyn"
2022,531100642,"TECHN","zemní plyn"
2022,531170252,"TECHN","zemní plyn"
2022,531201022,"TECHN","zemní plyn"
2022,531201202,"TECHN","zemní plyn"
2022,531201542,"TECHN","zemní plyn"
2022,531201592,"TECHN","zemní plyn"
2022,531270172,"TECHN","zemní plyn"
2022,531270382,"TECHN","zemní plyn"
2022,531400672,"TECHN","zemní plyn"
2022,531401182,"TECHN","zemní plyn"
2022,531470012,"TECHN","hnědé uhlí prachové"
2022,531470012,"TECHN","zemní plyn"
2022,531470082,"TECHN","zemní plyn"
2022,531500882,"TECHN","zemní plyn"
2022,600838011,"TECHN","propan, butan a jejich směsi"
2022,601100271,"TECHN","zemní plyn"
2022,601520093,"TECHN","zemní plyn"
2022,601520851,"TECHN","zemní plyn"
2022,601528861,"TECHN","zemní plyn"
2022,601540011,"TECHN","zemní plyn"
2022,602050013,"TECHN","bioplyn"
2022,602120041,"TECHN","zemní plyn"
2022,602120811,"TECHN","zemní plyn"
2022,602530013,"TECHN","propan, butan a jejich směsi"
2022,602860091,"TECHN","zemní plyn"
2022,604610033,"TECHN","propan, butan a jejich směsi"
2022,605010073,"TECHN","zemní plyn"
2022,605310013,"TECHN","zemní plyn"
2022,605430013,"TECHN","dřevní biomasa"
2022,605600023,"TECHN","zemní plyn"
2022,606370421,"TECHN","zemní plyn"
2022,606660013,"TECHN","zemní plyn"
2022,606660033,"TECHN","zemní plyn"
2022,606970381,"TECHN","zemní plyn"
2022,607040013,"TECHN","bioplyn"
2022,607308211,"TECHN","zemní plyn"
2022,607390043,"TECHN","zemní plyn"
2022,607398131,"TECHN","zemní plyn"
2022,607741261,"TECHN","zemní plyn"
2022,607741561,"TECHN","zemní plyn"
2022,608040781,"TECHN","zemní plyn"
2022,608328021,"TECHN","zemní plyn"
2022,609048021,"TECHN","zemní plyn"
2022,609220033,"TECHN","zemní plyn"
2022,609978181,"TECHN","zemní plyn"
2022,609978203,"TECHN","zemní plyn"
2022,610008311,"TECHN","zemní plyn"
2022,610008311,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2022,610100042,"TECHN","zemní plyn"
2022,610100242,"TECHN","zemní plyn"
2022,610100532,"TECHN","propan, butan a jejich směsi"
2022,610170072,"TECHN","zemní plyn"
2022,610201652,"TECHN","zemní plyn"
2022,610201802,"TECHN","zemní plyn"
2022,610201882,"TECHN","zemní plyn"
2022,610270372,"TECHN","zemní plyn"
2022,610300372,"TECHN","zemní plyn"
2022,610400552,"TECHN","zemní plyn"
2022,610400862,"TECHN","zemní plyn"
2022,610470132,"TECHN","zemní plyn"
2022,610500412,"TECHN","zemní plyn"
2022,610500482,"TECHN","zemní plyn"
2022,610501072,"TECHN","zemní plyn"
2022,610501232,"TECHN","topné oleje nízkosirné (obsah síry více než 0,1% a max. do 1 % vč.)"
2022,610501982,"TECHN","zemní plyn"
2022,610502092,"TECHN","dřevní biomasa"
2022,610571352,"TECHN","zemní plyn"
2022,610600012,"TECHN","zemní plyn"
2022,610708322,"TECHN","zemní plyn"
2022,610800412,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2022,610800432,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2022,610900322,"TECHN","zemní plyn"
2022,610900412,"TECHN","zemní plyn"
2022,611000352,"TECHN","zemní plyn"
2022,611001062,"TECHN","zemní plyn"
2022,611020031,"TECHN","zemní plyn"
2022,611070042,"TECHN","dřevní biomasa"
2022,611070382,"TECHN","propan, butan a jejich směsi"
2022,611151212,"TECHN","zemní plyn"
2022,611170172,"TECHN","zemní plyn"
2022,611208502,"TECHN","bioplyn"
2022,611260221,"TECHN","zemní plyn"
2022,611260781,"TECHN","zemní plyn"
2022,611270092,"TECHN","bioplyn"
2022,611300392,"TECHN","zemní plyn"
2022,611301292,"TECHN","zemní plyn"
2022,611305622,"TECHN","zemní plyn"
2022,611307102,"TECHN","zemní plyn"
2022,611307372,"TECHN","zemní plyn"
2022,611307602,"TECHN","bioplyn"
2022,611309552,"TECHN","zemní plyn"
2022,611400282,"TECHN","zemní plyn"
