"KOD","TEXT"
"205900","Výroba ostatních chemických výrobků j. n."
"205910","Výroba metylesterů a etylesterů mastných kyselin pro pohon motorů a pro výrobu směsí paliv pro pohon motorů"
"205990","Výroba jiných chemických výrobků j. n."
"206000","Výroba chemických vláken"
"211000","Výroba základních farmaceutických výrobků"
"212000","Výroba farmaceutických přípravků"
"220000","Výroba pryžových a plastových výrobků"
"221100","Výroba pryžových plášťů a duší; protektorování pneumatik"
"221900","Výroba ostatních pryžových výrobků"
"222000","Výroba plastových výrobků"
"222100","Výroba plastových desek, fólií, hadic, trubek a profilů"
"222200","Výroba plastových obalů"
"222300","Výroba plastových výrobků pro stavebnictví"
"222900","Výroba ostatních plastových výrobků"
"230000","Výroba ostatních nekovových minerálních výrobků"
"231000","Výroba skla a skleněných výrobků"
"231100","Výroba plochého skla"
"231200","Tvarování a zpracování plochého skla"
"231300","Výroba dutého skla"
"231400","Výroba skleněných vláken"
"231900","Výroba a zpracování ostatního skla vč. technického"
"232000","Výroba žáruvzdorných výrobků"
"233100","Výroba keramických obkládaček a dlaždic"
"233200","Výroba pálených zdicích materiálů, tašek, dlaždic a podobných výrobků"
"234100","Výroba keramických a porcelánových výrobků převážně pro domácnost a ozdobných předmětů"
"234200","Výroba keramických sanitárních výrobků"
"234300","Výroba keramických izolátorů a izolačního příslušenství"
"234400","Výroba ostatních technických keramických výrobků"
"234900","Výroba ostatních keramických výrobků"
"235100","Výroba cementu"
"235200","Výroba vápna a sádry"
"236100","Výroba betonových výrobků pro stavební účely"
"236200","Výroba sádrových výrobků pro stavební účely"
"236300","Výroba betonu připraveného k lití"
"236400","Výroba malt"
"236500","Výroba vláknitých cementů"
"236900","Výroba ostatních betonových, cementových a sádrových výrobků"
"237000","Řezání, tvarování a konečná úprava kamenů"
"239100","Výroba brusiv"
"239900","Výroba ostatních nekovových minerálních výrobků j. n."
"240000","Výroba základních kovů, hutní zpracování kovů; slévárenství"
"241000","Výroba surového železa, oceli a feroslitin, plochých výrobků (kromě pásky za studena), tváření výrobků za tepla"
"241010","Výroba surového železa, oceli a feroslitin"
"241020","Výroba plochých výrobků (kromě pásky za studena)"
"241030","Tváření výrobků za tepla"
"242000","Výroba ocelových trub, trubek, dutých profilů a souvisejících potrubních tvarovek"
"243100","Tažení tyčí za studena"
"243200","Válcování ocelových úzkých pásů za studena"
"243300","Tváření ocelových profilů za studena"
"243400","Tažení ocelového drátu za studena"
"244100","Výroba a hutní zpracování drahých kovů"
"244200","Výroba a hutní zpracování hliníku"
"244300","Výroba a hutní zpracování olova, zinku a cínu"
"244400","Výroba a hutní zpracování mědi"
"245000","Slévárenství"
"245100","Výroba odlitků z litiny"
"245110","Výroba odlitků z litiny s lupínkovým grafitem"
"245120","Výroba odlitků z litiny s kuličkovým grafitem"
"245200","Výroba odlitků z oceli"
"245210","Výroba odlitků z uhlíkatých ocelí"
"245220","Výroba odlitků z legovaných ocelí"
"245300","Výroba odlitků z lehkých neželezných kovů"
"245400","Výroba odlitků z ostatních neželezných kovů"
"250000","Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení"
"251100","Výroba kovových konstrukcí a jejich dílů"
"251200","Výroba kovových dveří a oken"
"252100","Výroba radiátorů a kotlů k ústřednímu topení"
"252900","Výroba kovových nádrží a zásobníků"
"253000","Výroba parních kotlů, kromě kotlů pro ústřední topení"
"254000","Výroba zbraní a střeliva"
"255000","Kování, lisování, ražení, válcování a protlačování kovů; prášková metalurgie"
"256000","Povrchová úprava a zušlechťování kovů; obrábění"
"256100","Povrchová úprava a zušlechťování kovů"
"256200","Obrábění"
"257000","Výroba nožířských výrobků, nástrojů a železářských výrobků"
"257100","Výroba nožířských výrobků"
"257200","Výroba zámků a kování"
"257300","Výroba nástrojů a nářadí"
"259100","Výroba ocelových sudů a podobných nádob"
"259200","Výroba drobných kovových obalů"
"259300","Výroba drátěných výrobků, řetězů a pružin"
"259400","Výroba spojovacích materiálů a spojovacích výrobků se závity"
"259900","Výroba ostatních kovodělných výrobků j. n."
"261100","Výroba elektronických součástek"
"261200","Výroba osazených elektronických desek"
"262000","Výroba počítačů a periferních zařízení"
"263000","Výroba komunikačních zařízení"
"264000","Výroba spotřební elektroniky"
"265100","Výroba měřicích, zkušebních a navigačních přístrojů"
"265200","Výroba časoměrných přístrojů"
"266000","Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů"
"267000","Výroba optických a fotografických přístrojů a zařízení"
"271100","Výroba elektrických motorů, generátorů a transformátorů"
"271200","Výroba elektrických rozvodných a kontrolních zařízení"
"272000","Výroba baterií a akumulátorů"
"273200","Výroba elektrických vodičů a kabelů j. n."
"273300","Výroba elektroinstalačních zařízení"
"274000","Výroba elektrických osvětlovacích zařízení"
"275100","Výroba elektrických spotřebičů převážně pro domácnost"
"275200","Výroba neelektrických spotřebičů převážně pro domácnost"
"279000","Výroba ostatních elektrických zařízení"
"280000","Výroba strojů a zařízení j. n."
"281100","Výroba motorů a turbín, kromě motorů pro letadla, automobily a motocykly"
"281200","Výroba hydraulických a pneumatických zařízení"
"281300","Výroba ostatních čerpadel a kompresorů"
"281400","Výroba ostatních potrubních armatur"
"281500","Výroba ložisek, ozubených kol, převodů a hnacích prvků"
"282100","Výroba pecí a hořáků pro topeniště"
"282200","Výroba zdvihacích a manipulačních zařízení"
"282300","Výroba kancelářských strojů a zařízení, kromě počítačů a periferních zařízení"
"282400","Výroba ručních mechanizovaných nástrojů"
"282500","Výroba průmyslových chladicích a klimatizačních zařízení"
"282900","Výroba ostatních strojů a zařízení pro všeobecné účely j. n."
"283000","Výroba zemědělských a lesnických strojů"
"284100","Výroba kovoobráběcích strojů"
"284900","Výroba ostatních obráběcích strojů"
"289100","Výroba strojů pro metalurgii"
"289200","Výroba strojů pro těžbu, dobývání a stavebnictví"
"289300","Výroba strojů na výrobu potravin, nápojů a zpracování tabáku"
"289400","Výroba strojů na výrobu textilu, oděvních výrobků a výrobků z usní"
"289500","Výroba strojů a přístrojů na výrobu papíru a lepenky"
"289600","Výroba strojů na výrobu plastů a pryže"
"289900","Výroba ostatních strojů pro speciální účely j. n."
"291000","Výroba motorových vozidel a jejich motorů"
"292000","Výroba karoserií motorových vozidel; výroba přívěsů a návěsů"
"293100","Výroba elektrického a elektronického zařízení pro motorová vozidla"
"293200","Výroba ostatních dílů a příslušenství pro motorová vozidla"
"301100","Stavba lodí a plavidel"
"301200","Stavba rekreačních a sportovních člunů"
"302000","Výroba železničních lokomotiv a vozového parku"
"303000","Výroba letadel a jejich motorů, kosmických lodí a souvisejících zařízení"
"304000","Výroba vojenských bojových vozidel"
"309100","Výroba motocyklů"
"309200","Výroba jízdních kol a vozíků pro invalidy"
"309900","Výroba ostatních dopravních prostředků a zařízení j. n."
"310000","Výroba nábytku"
"310100","Výroba kancelářského nábytku a zařízení obchodů"
"310200","Výroba kuchyňského nábytku"
"310300","Výroba matrací"
"310900","Výroba ostatního nábytku"
"320000","Ostatní zpracovatelský průmysl"
"321100","Ražení mincí"
"321200","Výroba klenotů a příbuzných výrobků"
"321300","Výroba bižuterie a příbuzných výrobků"
"322000","Výroba hudebních nástrojů"
"323000","Výroba sportovních potřeb"
"324000","Výroba her a hraček"
"325000","Výroba lékařských a dentálních nástrojů a potřeb"
"329100","Výroba košťat a kartáčnických výrobků"
"329900","Ostatní zpracovatelský průmysl j. n."
"331100","Opravy kovodělných výrobků"
"331200","Opravy strojů"
"331300","Opravy elektronických a optických přístrojů a zařízení"
"331400","Opravy elektrických zařízení"
"331600","Opravy a údržba letadel a kosmických lodí"
"331700","Opravy a údržba ostatních dopravních prostředků a zařízení j. n."
"331710","Opravy a údržba kolejových vozidel"
"331790","Opravy a údržba ostatních dopravních prostředků a zařízení j. n. kromě kolejových vozidel"
"332000","Instalace průmyslových strojů a zařízení"
"351100","Výroba elektřiny"
"351200","Přenos elektřiny"
"351300","Rozvod elektřiny"
"351400","Obchod s elektřinou"
"352100","Výroba plynu"
"352200","Rozvod plynných paliv prostřednictvím sítí"
"352300","Obchod s plynem prostřednictvím sítí"
"353000","Výroba a rozvod tepla a klimatizovaného vzduchu, výroba ledu"
"353010","Výroba tepla"
"353020","Rozvod tepla"
"360000","Shromažďování, úprava a rozvod vody"
"370000","Činnosti související s odpadními vodami"
"380000","Shromažďování, sběr a odstraňování odpadů, úprava odpadů k dalšímu využití"
"381100","Shromažďování a sběr odpadů, kromě nebezpečných"
"381200","Shromažďování a sběr nebezpečných odpadů"
"382100","Odstraňování odpadů, kromě nebezpečných"
"382200","Odstraňování nebezpečných odpadů"
"383200","Úprava odpadů k dalšímu využití, kromě demontáže vraků, strojů a zařízení"
"390000","Sanace a jiné činnosti související s odpady"
"411000","Developerská činnost"
"412000","Výstavba bytových a nebytových budov"
"412010","Výstavba bytových budov"
"412020","Výstavba nebytových budov"
"421100","Výstavba silnic a dálnic"
"421200","Výstavba železnic a podzemních drah"
"421300","Výstavba mostů a tunelů"
"422100","Výstavba inženýrských sítí pro kapaliny a plyny"
"422110","Výstavba inženýrských sítí pro kapaliny"
"422120","Výstavba inženýrských sítí pro plyny"
"422200","Výstavba inženýrských sítí pro elektřinu a telekomunikace"
"429100","Výstavba vodních děl"
"429900","Výstavba ostatních staveb j. n."
"431000","Demolice a příprava staveniště"
"431100","Demolice"
"431200","Příprava staveniště"
"431300","Průzkumné vrtné práce"
"432000","Elektroinstalační, instalatérské a ostatní stavebně instalační práce"
"432100","Elektrické instalace"
"432200","Instalace vody, odpadu, plynu, topení a klimatizace"
"432900","Ostatní stavební instalace"
"433000","Kompletační a dokončovací práce"
"433100","Omítkářské práce"
"433200","Truhlářské práce"
"433300","Obkládání stěn a pokládání podlahových krytin"
"433400","Sklenářské, malířské a natěračské práce"
"433410","Sklenářské práce"
"433420","Malířské a natěračské práce"
"433900","Ostatní kompletační a dokončovací práce"
"439100","Pokrývačské práce"
"439900","Ostatní specializované stavební činnosti j. n."
"439990","Jiné specializované stavební činnosti j. n."
"450000","Velkoobchod, maloobchod a opravy motorových vozidel"
"451100","Obchod s automobily a jinými lehkými motorovými vozidly"
"451900","Obchod s ostatními motorovými vozidly, kromě motocyklů"
"452000","Opravy a údržba motorových vozidel, kromě motocyklů"
"453100","Velkoobchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů"
"454000","Obchod, opravy a údržba motocyklů, jejich dílů a příslušenství"
"461000","Zprostředkování velkoobchodu a velkoobchod v zastoupení"
"461100","Zprostředkování velkoobchodu a velkoobchod v zastoupení se základními zemědělskými produkty, živými zvířaty, textilními surovinami a polotovary"
"461300","Zprostředkování velkoobchodu a velkoobchod v zastoupení se dřevem a stavebními materiály"
"461800","Zprostředkování specializovaného velkoobchodu a specializovaný velkoobchod v zastoupení s ostatními výrobky"
