"Ukazatel","IndicatorType","Pohlaví","POHL2","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Hodnota"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2001","2001","Moravskoslezský kraj","CZ080","1269749"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Česko","CZ","10206436"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Praha","CZ01","1160118"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Střední Čechy","CZ02","1123931"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Jihozápad","CZ03","1174168"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Severozápad","CZ04","1123164"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Severovýchod","CZ05","1483901"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Jihovýchod","CZ06","1642808"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Střední Morava","CZ07","1232434"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Moravskoslezsko","CZ08","1265912"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Hlavní město Praha","CZ010","1160118"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Středočeský kraj","CZ020","1123931"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Jihočeský kraj","CZ031","624568"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Plzeňský kraj","CZ032","549600"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Karlovarský kraj","CZ041","303714"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2002","2002","Ústecký kraj","CZ042","819450"
