"ROK","ICP","ICO","NACE"
2023,119800092,25614631,"682020"
2023,119800132,75151481,"842400"
2023,119800142,75151481,"842400"
2023,119800152,75151481,"842400"
2023,119800192,67985874,"721900"
2023,119800302,64335,"900100"
2023,119800332,1279,"181200"
2023,119800342,26781026,"749090"
2023,119800442,45193410,"353010"
2023,119800462,45193410,"353010"
2023,119800472,45193410,"353010"
2023,119800542,45277346,"353010"
2023,119800632,27104290,"432200"
2023,119800852,45277346,"353010"
2023,119800862,45277346,"353010"
2023,119800892,63072599,"353010"
2023,119800902,63072599,"353010"
2023,119800982,26166879,"383200"
2023,119801012,45277346,"353010"
2023,119801022,45277346,"353010"
2023,119801052,45277346,"353010"
2023,119801062,45277346,"353010"
2023,119801102,28506120,"109100"
2023,119801172,60436140,"853110"
2023,119801312,61459445,"611040"
2023,119801352,48038687,"473000"
2023,119801362,,"351300"
2023,119801532,47124601,"271100"
2023,119801632,25055925,"353010"
2023,119801652,27361861,"559000"
2023,119801672,27361861,"559000"
2023,119801702,27361861,"559000"
2023,119801722,28378563,"682000"
2023,119801852,27637646,"682020"
2023,119801922,25653270,"682020"
2023,119802002,45279942,"682000"
2023,119802012,26310554,"682020"
2023,119802052,60194120,"381100"
2023,119802082,,"351300"
2023,119802312,18628966,"683200"
2023,119802332,18628966,"683200"
2023,119802372,7064,"841100"
2023,119802732,45792054,"353000"
2023,119802982,45792054,"353000"
2023,119803082,25605305,"551010"
2023,119803192,28993462,"682020"
2023,119803232,72080043,"841100"
2023,119803252,72080043,"841100"
2023,119803602,28170644,"682020"
2023,119803652,49240552,"682020"
2023,119803782,25068695,"682020"
2023,119804022,64945880,"471100"
2023,119804432,64203,"861000"
2023,119804452,72080043,"841100"
2023,119804522,25208047,"451100"
2023,119804662,147893,"212000"
2023,119805012,63992001,"432200"
2023,119805022,45193410,"353010"
2023,119805382,49613332,"242000"
2023,119805582,26435713,"451100"
2023,119805702,19305,"712000"
2023,119805752,45193410,"353010"
2023,119805762,45193410,"353010"
2023,119805772,45193410,"353010"
