"ROK","ICP","TYP","FUEL_NAME"
2023,119805582,"TECHN","zemní plyn"
2023,119812352,"TECHN","zemní plyn"
2023,210144602,"TECHN","zemní plyn"
2023,210200312,"TECHN","zemní plyn"
2023,210200452,"TECHN","zemní plyn"
2023,210202272,"TECHN","bioplyn"
2023,210202732,"TECHN","zemní plyn"
2023,210304272,"TECHN","zemní plyn"
2023,210400532,"TECHN","propan, butan a jejich směsi"
2023,210470052,"TECHN","zemní plyn"
2023,210502892,"TECHN","zemní plyn"
2023,210557562,"TECHN","dřevní biomasa"
2023,210570712,"TECHN","skládkový plyn"
2023,210570712,"TECHN","bioplyn"
2023,210700022,"TECHN","zemní plyn"
2023,210700692,"TECHN","dřevní biomasa"
2023,210842522,"TECHN","zemní plyn"
2023,210842522,"TECHN","bioplyn"
2023,210842622,"TECHN","zemní plyn"
2023,210901492,"TECHN","zemní plyn"
2023,210901712,"TECHN","zemní plyn"
2023,210901782,"TECHN","zemní plyn"
2023,210970172,"TECHN","zemní plyn"
2023,210970242,"TECHN","zemní plyn"
2023,211000882,"TECHN","zemní plyn"
2023,211001242,"TECHN","zemní plyn"
2023,211001792,"TECHN","zemní plyn"
2023,211070072,"TECHN","zemní plyn"
2023,211070322,"TECHN","zemní plyn"
2023,211070352,"TECHN","zemní plyn"
2023,211070392,"TECHN","zemní plyn"
2023,211070612,"TECHN","dřevní biomasa"
2023,211200802,"TECHN","zemní plyn"
2023,211201362,"TECHN","zemní plyn"
2023,211270192,"TECHN","propan, butan a jejich směsi"
2023,211300892,"TECHN","zemní plyn"
2023,211400012,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2023,211402082,"TECHN","zemní plyn"
2023,211402562,"TECHN","propan, butan a jejich směsi"
2023,211500162,"TECHN","propan, butan a jejich směsi"
2023,211500282,"TECHN","zemní plyn"
2023,211512332,"TECHN","propan, butan a jejich směsi"
2023,211570182,"TECHN","bioplyn"
2023,211570232,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2023,211670122,"TECHN","zemní plyn"
2023,211801862,"TECHN","zemní plyn"
2023,211801892,"TECHN","zemní plyn"
2023,212007272,"TECHN","bioplyn"
2023,212007682,"TECHN","zemní plyn"
2023,212100052,"TECHN","zemní plyn"
2023,212100412,"TECHN","dřevní biomasa"
2023,212100882,"TECHN","zemní plyn"
2023,212101622,"TECHN","topné oleje nízkosirné (obsah síry více než 0,1% a max. do 1 % vč.)"
2023,212200522,"TECHN","zemní plyn"
2023,212201702,"TECHN","zemní plyn"
2023,212203392,"TECHN","zemní plyn"
2023,212270072,"TECHN","zemní plyn"
2023,212270482,"TECHN","topné oleje nízkosirné (obsah síry více než 0,1% a max. do 1 % vč.)"
2023,212398142,"TECHN","zemní plyn"
2023,212398372,"TECHN","bioplyn"
2023,212400282,"TECHN","zemní plyn"
2023,212400282,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2023,212470012,"TECHN","zemní plyn"
2023,212470022,"TECHN","zemní plyn"
2023,212470132,"TECHN","zemní plyn"
2023,212470312,"TECHN","bioplyn"
2023,212500162,"TECHN","zemní plyn"
2023,212603492,"TECHN","zemní plyn"
2023,212604522,"TECHN","zemní plyn"
2023,212670102,"TECHN","zemní plyn"
2023,310046822,"TECHN","zemní plyn"
2023,310051792,"TECHN","zemní plyn"
2023,310053912,"TECHN","zemní plyn"
2023,310093702,"TECHN","zemní plyn"
2023,310094422,"TECHN","zemní plyn"
2023,310097342,"TECHN","zemní plyn"
2023,310097422,"TECHN","zemní plyn"
2023,310099322,"TECHN","jiné kapalné palivo"
2023,310101812,"TECHN","zemní plyn"
2023,310104742,"TECHN","zemní plyn"
