"ROK","IDFPROV","EMISE","EMI_MNO_T"
2023,210170432,"oxid uhelnatý (CO)",12.7350
2023,210170432,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",9.1430
2023,210170472,"oxid uhelnatý (CO)",0.3980
2023,210170472,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.4780
2023,210170472,"tuhé znečišťující látky (TZL)",0.10
2023,210200132,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.7840
2023,210200292,"oxid uhelnatý (CO)",0.0360
2023,210200292,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.1390
2023,210200292,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0.0010
2023,210200292,"tuhé znečišťující látky (TZL)",0.0110
2023,210200312,"chlor a plynné anorganické sloučeniny chloru (kromě chlorkyanu) vyjádřené jako chlorovodík (HCl)",0.1130
2023,210200312,"oxid uhelnatý (CO)",0.1840
2023,210200312,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",6.0970
2023,210200312,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0.2050
2023,210200312,"tuhé znečišťující látky (TZL)",0
2023,210200332,"tuhé znečišťující látky (TZL)",3.1160
2023,210200342,"tuhé znečišťující látky (TZL)",1.4440
2023,210200452,"amoniak a soli amonné vyjádřené jako amoniak (NH3)",0
2023,210200452,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0
2023,210200452,"oxid uhelnatý (CO)",0.0230
2023,210200452,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.15
2023,210200452,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0.0050
2023,210200452,"tuhé znečišťující látky (TZL)",0.0010
2023,210200452,"těkavé organické látky (VOC)",0
2023,210200632,"tuhé znečišťující látky (TZL)",0.4820
2023,210200842,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.07
2023,210200842,"tuhé znečišťující látky (TZL)",0.0010
2023,210200842,"těkavé organické látky (VOC)",0.10
2023,210202272,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0710
2023,210202272,"oxid uhelnatý (CO)",5.6290
2023,210202272,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",5.8460
2023,210202292,"oxid uhelnatý (CO)",0.0250
2023,210202292,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.1660
2023,210202312,"těkavé organické látky (VOC)",0.3680
2023,210202452,"oxid uhelnatý (CO)",0.0010
2023,210202452,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0240
2023,210202452,"tuhé znečišťující látky (TZL)",0.3640
2023,210202522,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0140
2023,210202522,"tuhé znečišťující látky (TZL)",0.4490
2023,210202732,"oxid uhelnatý (CO)",0.0870
2023,210202732,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.1930
2023,210202732,"tuhé znečišťující látky (TZL)",8.4650
2023,210202762,"oxid uhelnatý (CO)",0.6060
2023,210202762,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",1.2120
2023,210202762,"tuhé znečišťující látky (TZL)",0.2350
2023,210203002,"tuhé znečišťující látky (TZL)",0.8390
2023,210270042,"tuhé znečišťující látky (TZL)",0.0420
2023,210270082,"organické látky vyjádřené jako celkový organický uhlík (TOC)",3.4330
2023,210270082,"oxid uhelnatý (CO)",0.0120
2023,210270082,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.2940
2023,210270082,"tuhé znečišťující látky (TZL)",0.1550
2023,210270082,"těkavé organické látky (VOC)",6.5290
2023,210270202,"tuhé znečišťující látky (TZL)",2.89
2023,210270222,"oxid uhelnatý (CO)",0.0010
2023,210270222,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0060
2023,210270222,"tuhé znečišťující látky (TZL)",0.2450
2023,210270242,"těkavé organické látky (VOC)",5.4840
2023,210270272,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.9460
2023,210270272,"těkavé organické látky (VOC)",1.1820
2023,210300142,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0040
2023,210300142,"oxid uhelnatý (CO)",0.0180
2023,210300142,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.11
2023,210300142,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0.0020
2023,210300142,"tuhé znečišťující látky (TZL)",0.0020
2023,210300142,"těkavé organické látky (VOC)",2.7770
2023,210300232,"oxid uhelnatý (CO)",0.0040
2023,210300232,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0860
2023,210300232,"tuhé znečišťující látky (TZL)",0.5320
2023,210300592,"tuhé znečišťující látky (TZL)",2.2370
2023,210300712,"oxid uhelnatý (CO)",0
2023,210300712,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0130
2023,210300732,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.01
2023,210300732,"oxid uhelnatý (CO)",0.0020
2023,210300732,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0760
2023,210300732,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0.0020
2023,210300732,"tuhé znečišťující látky (TZL)",0.0020
2023,210300782,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0360
2023,210300782,"oxid uhelnatý (CO)",0.0050
2023,210300782,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.3560
2023,210300782,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0.0060
2023,210300782,"tuhé znečišťující látky (TZL)",0.0110
2023,210300842,"oxid uhelnatý (CO)",0.0060
2023,210300842,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.1410
2023,210300842,"tuhé znečišťující látky (TZL)",0.7320
2023,210300842,"těkavé organické látky (VOC)",0.5390
2023,210300882,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0560
2023,210300882,"oxid uhelnatý (CO)",0.1240
2023,210300882,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.04
2023,210300882,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0.0040
2023,210300882,"tuhé znečišťující látky (TZL)",0.03
2023,210301112,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0120
2023,210301112,"oxid uhelnatý (CO)",0
2023,210301112,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.1120
2023,210301112,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0.0030
2023,210301112,"tuhé znečišťující látky (TZL)",0.0030
2023,210301132,"oxid uhelnatý (CO)",0.0020
2023,210301132,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0450
2023,210301132,"tuhé znečišťující látky (TZL)",0.0010
2023,210301362,"chlor a plynné anorganické sloučeniny chloru (kromě chlorkyanu) vyjádřené jako chlorovodík (HCl)",0.0390
2023,210301362,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.1570
2023,210301362,"tuhé znečišťující látky (TZL)",0.0190
2023,210304242,"tuhé znečišťující látky (TZL)",0.6460
2023,210304272,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0010
2023,210304312,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0280
2023,210304492,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.3280
2023,210304492,"oxid uhelnatý (CO)",0
2023,210304492,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0040
2023,210304492,"těkavé organické látky (VOC)",1.8560
2023,210304562,"oxid uhelnatý (CO)",0.0010
2023,210304562,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0240
2023,210304562,"těkavé organické látky (VOC)",0.4560
2023,210370042,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.5870
2023,210370042,"oxid uhelnatý (CO)",0.0110
2023,210370042,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.1230
2023,210370042,"těkavé organické látky (VOC)",0.3780
2023,210370142,"oxid uhelnatý (CO)",0.0140
2023,210370142,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.2750
2023,210370142,"těkavé organické látky (VOC)",1.0250
2023,210370172,"tuhé znečišťující látky (TZL)",6.9480
2023,210370232,"oxid uhelnatý (CO)",0.0020
2023,210370232,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.07
2023,210370262,"tuhé znečišťující látky (TZL)",0.5660
2023,210370272,"oxid uhelnatý (CO)",0
2023,210370272,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.1130
2023,210370282,"těkavé organické látky (VOC)",0.2720
2023,210370292,"oxid uhelnatý (CO)",0.0220
2023,210370292,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0450
2023,210370292,"těkavé organické látky (VOC)",1.6360
2023,210370342,"těkavé organické látky (VOC)",0.1930
2023,210370672,"organické látky vyjádřené jako celkový organický uhlík (TOC)",2.17
2023,210370672,"tuhé znečišťující látky (TZL)",0.0070
2023,210370672,"těkavé organické látky (VOC)",3.67
2023,210400242,"tuhé znečišťující látky (TZL)",3.1720
2023,210400242,"těkavé organické látky (VOC)",1.1550
2023,210400382,"tuhé znečišťující látky (TZL)",2.0890
2023,210400442,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0040
2023,210400442,"tuhé znečišťující látky (TZL)",0
2023,210400452,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.7010
2023,210400452,"oxid uhelnatý (CO)",0.6120
2023,210400452,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.2850
2023,210400452,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",1.1330
2023,210400452,"tuhé znečišťující látky (TZL)",0.0360
2023,210400452,"těkavé organické látky (VOC)",0.1980
2023,210400532,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.10
2023,210400532,"tuhé znečišťující látky (TZL)",0.01
2023,210400552,"amoniak a soli amonné vyjádřené jako amoniak (NH3)",0
2023,210400552,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0340
