"ROK","ICP","TYP","FUEL_NAME"
2023,119800092,"SPAL","zemní plyn"
2023,119800132,"SPAL","zemní plyn"
2023,119800142,"SPAL","zemní plyn"
2023,119800152,"SPAL","zemní plyn"
2023,119800192,"SPAL","zemní plyn"
2023,119800302,"SPAL","zemní plyn"
2023,119800332,"SPAL","zemní plyn"
2023,119800342,"SPAL","zemní plyn"
2023,119800442,"SPAL","zemní plyn"
2023,119800462,"SPAL","zemní plyn"
2023,119800472,"SPAL","zemní plyn"
2023,119800542,"SPAL","zemní plyn"
2023,119800632,"SPAL","zemní plyn"
2023,119800852,"SPAL","zemní plyn"
2023,119800862,"SPAL","zemní plyn"
2023,119800892,"SPAL","zemní plyn"
2023,119800902,"SPAL","zemní plyn"
2023,119801012,"SPAL","zemní plyn"
2023,119801022,"SPAL","zemní plyn"
2023,119801052,"SPAL","zemní plyn"
2023,119801062,"SPAL","zemní plyn"
2023,119801102,"SPAL","zemní plyn"
2023,119801172,"SPAL","zemní plyn"
2023,119801362,"SPAL","zemní plyn"
2023,119801632,"SPAL","zemní plyn"
2023,119801652,"SPAL","zemní plyn"
2023,119801672,"SPAL","zemní plyn"
2023,119801702,"SPAL","zemní plyn"
2023,119801722,"SPAL","zemní plyn"
2023,119801852,"SPAL","zemní plyn"
2023,119801922,"SPAL","zemní plyn"
2023,119802002,"SPAL","zemní plyn"
2023,119802012,"SPAL","zemní plyn"
2023,119802012,"SPAL","nafta"
2023,119802082,"SPAL","zemní plyn"
2023,119802312,"SPAL","zemní plyn"
2023,119802332,"SPAL","zemní plyn"
2023,119802372,"SPAL","zemní plyn"
2023,119802732,"SPAL","zemní plyn"
2023,119802982,"SPAL","zemní plyn"
2023,119803082,"SPAL","nafta"
2023,119803082,"SPAL","zemní plyn"
2023,119803192,"SPAL","zemní plyn"
2023,119803192,"SPAL","nafta"
2023,119803232,"SPAL","zemní plyn"
2023,119803252,"SPAL","zemní plyn"
2023,119803602,"SPAL","zemní plyn"
2023,119803652,"SPAL","nafta"
2023,119803652,"SPAL","zemní plyn"
2023,119803782,"SPAL","zemní plyn"
2023,119804022,"SPAL","nafta"
2023,119804022,"SPAL","zemní plyn"
2023,119804432,"SPAL","zemní plyn"
2023,119804452,"SPAL","zemní plyn"
2023,119804522,"SPAL","zemní plyn"
2023,119804662,"SPAL","zemní plyn"
2023,119805012,"SPAL","zemní plyn"
2023,119805022,"SPAL","zemní plyn"
2023,119805382,"SPAL","zemní plyn"
2023,119805702,"SPAL","zemní plyn"
2023,119805752,"SPAL","zemní plyn"
2023,119805762,"SPAL","zemní plyn"
2023,119805772,"SPAL","zemní plyn"
2023,119805782,"SPAL","zemní plyn"
2023,119805792,"SPAL","zemní plyn"
2023,119805802,"SPAL","zemní plyn"
2023,119805812,"SPAL","zemní plyn"
2023,119805822,"SPAL","zemní plyn"
2023,119805832,"SPAL","zemní plyn"
2023,119805852,"SPAL","zemní plyn"
2023,119805902,"SPAL","zemní plyn"
2023,119805922,"SPAL","zemní plyn"
2023,119806202,"SPAL","zemní plyn"
2023,119806382,"SPAL","zemní plyn"
2023,119806382,"SPAL","nafta"
2023,119806702,"SPAL","zemní plyn"
2023,119806852,"SPAL","zemní plyn"
2023,119806892,"SPAL","zemní plyn"
2023,119806922,"SPAL","zemní plyn"
2023,119806932,"SPAL","zemní plyn"
2023,119806942,"SPAL","zemní plyn"
2023,119807042,"SPAL","zemní plyn"
2023,119807082,"SPAL","zemní plyn"
2023,119807112,"SPAL","zemní plyn"
2023,119807132,"SPAL","zemní plyn"
2023,119807142,"SPAL","zemní plyn"
2023,119807582,"SPAL","nafta"
2023,119807692,"SPAL","zemní plyn"
2023,119807712,"SPAL","zemní plyn"
2023,119807722,"SPAL","zemní plyn"
2023,119807982,"SPAL","zemní plyn"
2023,119807992,"SPAL","zemní plyn"
2023,119808042,"SPAL","zemní plyn"
2023,119808062,"SPAL","topné oleje nízkosirné (obsah síry více než 0,1% a max. do 1 % vč.)"
2023,119808082,"SPAL","zemní plyn"
2023,119808112,"SPAL","zemní plyn"
2023,119808202,"SPAL","zemní plyn"
2023,119808232,"SPAL","zemní plyn"
2023,119808572,"SPAL","zemní plyn"
2023,119808582,"SPAL","zemní plyn"
2023,119808782,"SPAL","propan, butan a jejich směsi"
2023,119808782,"SPAL","zemní plyn"
2023,119808782,"SPAL","nafta"
2023,119808822,"SPAL","zemní plyn"
2023,119809022,"SPAL","zemní plyn"
2023,119809172,"SPAL","zemní plyn"
2023,119810552,"SPAL","zemní plyn"
2023,119810592,"SPAL","zemní plyn"
2023,119810622,"SPAL","zemní plyn"
2023,119810682,"SPAL","zemní plyn"
2023,119810692,"SPAL","zemní plyn"
2023,119810702,"SPAL","zemní plyn"
2023,119810852,"SPAL","zemní plyn"
2023,119810962,"SPAL","zemní plyn"
2023,119810972,"SPAL","nafta"
2023,119810972,"SPAL","zemní plyn"
2023,119810982,"SPAL","zemní plyn"
2023,119810982,"SPAL","nafta"
2023,119811012,"SPAL","zemní plyn"
2023,119811082,"SPAL","zemní plyn"
2023,119811102,"SPAL","zemní plyn"
2023,119811112,"SPAL","zemní plyn"
2023,119811122,"SPAL","zemní plyn"
2023,119811132,"SPAL","zemní plyn"
2023,119811142,"SPAL","zemní plyn"
2023,119811172,"SPAL","zemní plyn"
2023,119811182,"SPAL","zemní plyn"
2023,119811202,"SPAL","zemní plyn"
2023,119811212,"SPAL","zemní plyn"
2023,119811262,"SPAL","zemní plyn"
2023,119811272,"SPAL","zemní plyn"
